German,iso_code
Swasiland,SZ
Mazedonien,MK
Tschechische Republik,CZ
Südkorea,KR
Vereinigte Arabisch Emirate,AE
Vereinigte Staaten v. A.,US
Vereinigte Staaten von Amerika,US
Ver. Staaten von Amerika,US
Surinam,SR
Moldawien,MD
Weißrussland,BY
Zentralafrik. Republik,CF
Ver. Arabische Emirate,AE
United Republic of Tanzania,TZ
T. f. Yugo. Rep. of Macedonia,MK
Republic of Moldova,MD
Korea Republic of,KR
Libyan Arab Jamahiriya,LY
Demokratische Rep. Kongo,CD
Föd. Staaten von Mikronesien,FM
Föd. Staaten v. Mikronesien,FM
São Tomé and Príncipe,ST
St. Vincent und d. Grenadinen,VC
St. Vincent u. d. Grenadinen,VC
St. Vincent u. die Grenadinen,VC
Österreich,AT
Deutschland,DE
Norwegen,NO
Romänien,RO
Mongolien,MN
Republic of Macedonia,MK
Lao People's Democ. Republic,LA
